ECE 441 Smart and Connected Embedded System Design,,,,,,
,,,,,,
Group 5,,,,,,
,,,,,,
Item Name,Full Part Number,Cost,Number of orders,Total,Link,
Arduino Nano ESP32,ABX00083,$19.30,1,$19.30,https://www.mouser.com/ProductDetail/Arduino/ABX00083?qs=ulEaXIWI0c8OkA6u7pnNRA%3D%3D,
XIAO ESP32-S3 Sense,114991106,$23.99,1,$23.99,https://www.amazon.com/Seeed-Studio-ESP32S3-Sense-Pre-Soldered/dp/B0DRNW6KMG?th=1,
TF Luna - LiDar sensor,234-TFLUNAI2C,$24.90,1,$24.90,https://www.mouser.com/ProductDetail/Benewake/TF-Luna-I2C?qs=DPoM0jnrROUWvdDwJYVpzw%3D%3D,https://www.amazon.com/Benewake-TF-Luna-Ranging-Compatible-Raspberry/dp/B0DKCSF8C5
URM37 Ultrasonic Distance Sensor,ADA4019,$13.90,2,$27.80,DFRobot,
LSM6DSOX (IMU),ADA4438,$11.95,1,$11.95,https://www.adafruit.com/product/4438,
DRV2605L Haptic Driver,ADA2305,$7.95,4,$31.80,https://www.adafruit.com/product/2305,
Vibrating Mini Disc,1528-1177-ND,$1.95,4,$7.80,https://www.digikey.com/en/products/detail/adafruit-industries-llc/1201/5353637,
PowerBoost 1000C,1528-1349-ND,$19.95,1,$19.95,https://www.digikey.com/en/products/detail/adafruit-industries-llc/2465/5356834,
1200mAh LiPo Battery,ADA258,$9.95,1,$9.95,https://www.adafruit.com/product/258,
4400mAh LiPo Battery,ADA354,$19.95,1,$19.95,https://www.adafruit.com/product/354,
Piezo Buzzer,ADA160,$1.50,1,$1.50,https://www.adafruit.com/product/160,
Perma-Proto Board,ADA1608,$3.95,1,$3.95,https://www.adafruit.com/product/1608,
SPDT Slide Switch,ADA805,$0.95,1,$0.95,https://www.adafruit.com/product/805,
USB-C Data Cable,ADA4472,$2.95,1,$2.95,https://www.digikey.com/en/products/detail/adafruit-industries-llc/4472/11587359,
USB-C to USB C,10165794-Z0100YBLF,$4.31,1,$4.31,https://www.digikey.com/en/products/detail/amphenol-icc-fci-/10165794-Z0100YBLF/22527932,
PCA9548 I2C Mux (8-ch QT)  ,ADA5626,$6.95,1,$6.95,https://www.mouser.com/ProductDetail/Adafruit/5626?qs=mELouGlnn3ff5552BtFCTA%3D%3D,
Adafruit Mini GPS,ADA4415,$29.95,1,$29.95,https://www.adafruit.com/product/4415,
Adafruit I2S 3W Class D Amplifier Breakout,ADA3006,$5.95,1,$5.95,https://www.digikey.com/en/products/detail/adafruit-industries-llc/3006/6058477?s=N4IgjCBcoLQBxVAYygMwIYBsDOBTANCAPZQDa4ArAEwIC6AvvYVWSAMwAMHAbCA0A,
Mini Oval Speaker,ADA3923,$1.95,1,$1.95,https://www.adafruit.com/product/3923,
Lithium Ion Polymer Battery - 3.7v 500mAh,ADA1578,$7.95,1,$7.95,https://www.adafruit.com/product/1578,
STEMMA QT / Qwiic JST SH 4-pin Cable - 100mm Long,ADA4210,$0.95,6,$5.70,https://www.adafruit.com/product/4210,
Pulse sensor,1093,$30.00,1,$30.00,https://www.digikey.com/en/products/detail/adafruit-industries-llc/1093/5054385,
Light detecting sensor,4162,$4.95,1,$4.95,https://www.digikey.com/en/products/detail/adafruit-industries-llc/4162/9997696?s=N4IgjCBcoLQBxVAYygMwIYBsDOBTANCAPZQDa4ArAEwIC6AvvYVWSACxgBsLDQA,
boost converter for LEDs,6354,$4.50,1,$4.50,https://www.adafruit.com/product/6354,
Heatsink mounted LED 90 lux,518,$3.95,1,$3.95,https://www.adafruit.com/product/518,
Folding Graphite Cane,B01M18KWDQ,$41.95,1,$41.95,https://www.amazon.com/Ambutech-4-Sec-Folding-Graphite-Cane-Marsh-50-in/dp/B01M18KWDQ,
Conformal Coating,B0FH1ZTGZV,$18.89,1,$18.89,Conformal Coating for PCB/Component moisture protection,
Kapton Tape,B072Z92QZ2,$9.99,1,$9.99,Kapton Tape for connector/electrical component moisture protection,
Adhesive lined heat shrink,B0BVVMCY86,$13.99,1,$13.99,Adhesive lined heat shrink,
Sorbothane,B019GB21MS,$26.95,1,$26.95,Sorbothane - dampening for pcb's & other electronics inside cane,
Closed cell foam sheet,B08P1XQMQH,$12.99,1,$12.99,Closed Cell foam- mounting components,
Rubber grommets,‎B0F8N9PLXT,$7.99,1,$7.99,Rubber grommet kit- wire protection,
I2C Mux,1738-1452-ND,$6.90,3,$20.70,I2C Mux - for haptic drivers,
,,,,,,
,,,Total,$466.35,,
